ID,Title,ChineseTitle,Pics,Publisher,Author,Pages,ISBN,Tags,Urls
238,A Course in Enumeration,枚举教程,gtm238.gif,Springer-Verlag,Aigner,561,1,研究生数学教材|GTM238|枚举,http://d.119g.com/f/47CF52F32D0CD8FA.html
239,Number Theory - Volume I: Tools and Diophantine Equations,数论-第一卷-工具及丢番图方程,gtm239.gif,Springer-Verlag,Cohen,680,1,研究生数学教材|GTM239|数论,http://d.119g.com/f/181B27567754D21B.html
240,Number Theory - Volume II: Analytic and Modern Tools,数论-第二卷-解析工具及现代工具,gtm240.gif,Springer-Verlag,Cohen,596,1,研究生数学教材|GTM240|数论,http://d.119g.com/f/D7D6E4CBBD22D792.html
241,The Arithmetic of Dynamical Systems,动力系统算术,gtm241.gif,Springer-Verlag,Joseph H. Silverman,551,1,研究生数学教材|GTM241|动力系统,http://d.119g.com/f/AD9660B798CE89D2.html
242,Abstract Algebra,抽象代数,gtm242.gif,Springer-Verlag,Pierre Antoine Grillet,669,1,研究生数学教材|GTM242|抽象代数,http://d.119g.com/f/F4753CCB1908C954.html
243,Topological Methods in Group Theory,群论中的拓扑方法,gtm243.gif,Springer-Verlag,Ross Geoghegan,473,1,研究生数学教材|GTM243|群论|拓扑,http://d.119g.com/f/EFCB6B9D90B39938.html
244,Graph Theory,图论,gtm244.gif,Springer-Verlag,Bondy ; Murty,651,1,研究生数学教材|GTM244|图论,http://d.119g.com/f/4AC96F1B13EB2B7A.html
245,Complex Analysis,复分析,gtm245.gif,Springer-Verlag,Jane Gilman ; Irwin Kra ; Rubí E. Rodríguez,220,1,研究生数学教材|GTM245|复分析,http://d.119g.com/f/5B38F39B1F5CB6C8.html
246,A Course in Commutative Banach Algebras,交换巴拿赫代数教程,gtm246.gif,Springer-Verlag,Eberhard Kaniuth ,353,1,研究生数学教材|GTM246|巴拿赫代数,http://d.119g.com/f/AA5FFB0E94E1B9B5.html
247,Braid Groups,辫群,gtm247.gif,Springer-Verlag,Christian Kassel ; Vladimir G. Turaev,340,1,研究生数学教材|GTM247|辫群,http://d.119g.com/f/72592672BBBFF127.html
248,Buildings Theory and Applications,Building理论及其应用,gtm248.gif,Springer-Verlag,Abramenko,747,1,研究生数学教材|GTM248|Building理论,http://d.119g.com/f/93B9D56B8D633F2A.html
249,Classical Fourier Analysis,经典傅里叶分析,gtm249.gif,Springer-Verlag,Loukas Grafakos,489,1,研究生数学教材|GTM249|傅里叶分析,http://d.119g.com/f/619AE8FFE69312A7.html
250,Modern Fourier Analysis,现代傅里叶分析,gtm250.gif,Springer-Verlag,Loukas Grafakos,504,1,研究生数学教材|GTM250|傅里叶分析,http://d.119g.com/f/D8A6F0C8127CF752.html
251,The Finite Simple Groups,有限单群,gtm251.gif,Springer-Verlag,Robert Wilson,298,1,研究生数学教材|GTM251|单群,http://d.119g.com/f/691AD7504BD96728.html
252,Distributions and Operators,分布及算子,gtm252.gif,Springer-Verlag,Gerd Grubb,461,1,研究生数学教材|GTM252|分布|算子,http://d.119g.com/f/20CB79871A1A9980.html
253,Elementary Functional Analysis,初等泛函分析,gtm253.gif,Springer-Verlag,Barbara D. MacCluer,207,1,研究生数学教材|GTM253|泛函分析,http://d.119g.com/f/B688C7832D58BD01.html
254,Algebraic Function Fields and Codes,代数函数域及编码,gtm254.gif,Springer-Verlag,Henning Stichtenoth,355,1,研究生数学教材|GTM254|代数函数域|编码,http://d.119g.com/f/8CA0F4A143D07D0F.html
255,Symmetry Representations and Invariants,对称表示及不变量,gtm255.gif,Springer-Verlag,Roe Goodman ; Nolan R. Wallach,716,1,研究生数学教材|GTM255|表示|不变量,http://d.119g.com/f/8A66A9F3C56CCA18.html
256,A Course in Commutative Algebra,交换代数教程,gtm256.gif,Springer-Verlag,Gregor Kemp,246,1,研究生数学教材|GTM256|交换代数,http://d.119g.com/f/59166C86DFBB6677.html
257,Deformation Theory,形变理论,gtm257.gif,Springer-Verlag,Robin Hartshorne,234,1,研究生数学教材|GTM257|形变理论,http://d.119g.com/f/052B8C334A973DD3.html
258,Foundations of Optimization ,最优化理论基础,gtm258.gif,Springer-Verlag,Osman Güler,439,1,研究生数学教材|GTM258|优化,http://d.119g.com/f/CEFBDA4185CA589D.html
259,Ergodic Theory,遍历理论,gtm259.gif,Springer-Verlag,Manfred Einsiedler ; Thomas Ward,481,1,研究生数学教材|GTM259|遍历,http://d.119g.com/f/6B71E62BA5C42D4E.html
260,Monomial Ideals,单项式理想,gtm260.gif,Springer-Verlag,Jürgen Herzog[comma] Takayuki Hibi,305,1,研究生数学教材|GTM260|单项式|理想,http://d.119g.com/f/BBF9B124D9CE2455.html
261,Probability and Stochastics,概率与随机,gtm261.gif,Springer-Verlag,Erhan ?inlar,557,1,研究生数学教材|GTM261|概率|数理统计,
262,Essentials of Integration Theory for Analysis,分析积分理论基础,gtm262.gif,Springer-Verlag,Daniel W. Stroock,256,1,研究生数学教材|GTM262|积分理论,
